Título;N. tombo;ISBN;Edição;Volume;Tipo de material;Forma de aquisição;Data do registro
Como se fosse de argila;1.612.336;9788594137494;;;Livro;DL;03/12/2021
Como ser babá da vovó;1.612.875;9788574068626;;;Livro;DL;29/12/2021
Comunicação e discursividade;1.612.368;9788540027633;;;Livro;DL;03/12/2021
Conciliação e mediação pela administração pública;1.612.814;9788551913291;;;Livro;DL;29/12/2021
Confaloni no presente;1.612.635;9788540027879;;;Livro;DL;09/12/2021
Confessar sem medo;1.612.488;9788534950053;;;Livro;DL;06/12/2021
Conhecendo nossas origens;1.612.420;9788542014143;;;Livro;DL;06/12/2021
Conservadorismos, direitas e autoritarismos contemporâneos;1.612.827;9788593123375;;;Livro;DL;29/12/2021
Contos de Natal;1.612.837;9788566382235;;;Livro;DL;29/12/2021
Contos de reis e rainhas;1.612.545;9788580092653;;;Livro;DL;07/12/2021
Contos e recontos;1.612.633;9788594170002;3. ed.;;Livro;DL;09/12/2021
Contos provincianos e crônicas;1.612.705;9788547328863;;;Livro;DL;27/12/2021
Contra as expectativas;1.612.529;9788534527088;;;Livro;DL;07/12/2021
Corcel;1.612.533;9788578815349;;;Livro;DL;07/12/2021
Corpos e a produção sensível;1.612.858;9788593869426;;;Livro;DL;29/12/2021
Crimes aeronáuticos;1.612.347;9788584407910;3. ed. atual. e ampl., 4. tir.;;Livro;DL;03/12/2021
Cristianismo;1.612.453;9788550340018;;;Livro;DL;06/12/2021
Crônicas da Barraria;1.612.510;9788540023871;;;Livro;DL;07/12/2021
Crônicas do cinematógrafo;1.612.490;9788566786668;;;Livro;DL;06/12/2021
Crônicas espaciais;1.612.777;9788542216608;;;Livro;DL;27/12/2021
Cruviana;1.612.517;9788540027466;;;Livro;DL;07/12/2021
Da filosofia da história à sociologia histórica;1.612.302;9788566786415;;;Livro;DL;03/12/2021
Da lama ao caos;1.612.401;9788555910883;;;Livro;DL;06/12/2021
Daisy Jones & The Six;1.612.422;9788584391400;;;Livro;DL;06/12/2021
Danos causados por fugitivos do sistema prisional;1.612.806;9788551911877;;;Livro;DL;29/12/2021
Dê tempo ao tempo;1.612.798;9788542216639;;;Livro;DL;27/12/2021
De um gole só;1.612.418;9788582850893;;;Livro;DL;06/12/2021
Declamação estival;1.612.435;9786590081704;;;Livro;DL;06/12/2021
Deleites poéticos;1.612.611;9788572140089;;;Livro;DL;09/12/2021
